TimeF,posterior,prior,likelihood,rule
1D,-21.952015597455546,-23.893641515585912,1.9416259181303668,"""lambda x: tuple_(g_(get_(x, i, ""RSI""), 2), g_(get_(x, i, ""ADX""), 61), 1, 5.5)"""
1D,-21.952015597455546,-23.893641515585912,1.9416259181303668,"""lambda x: tuple_(le_(get_(x, i, ""close""), 95), g_(get_(x, i, ""ADX""), 61), 1, 5.5)"""
1D,-21.952015597455546,-23.893641515585912,1.9416259181303668,"""lambda x: tuple_(g_(get_(x, i, ""RSI""), 37), g_(get_(x, i, ""ADX""), 61), 1, 5.5)"""
1D,-21.952015597455546,-23.893641515585912,1.9416259181303668,"""lambda x: tuple_(le_(get_(x, i, ""RSI""), 95), g_(get_(x, i, ""ADX""), 61), 1, 5.5)"""
1D,-21.952015597455546,-23.893641515585912,1.9416259181303668,"""lambda x: tuple_(le_(get_(x, i, ""Histogram""), 69), g_(get_(x, i, ""ADX""), 61), 1, 5.5)"""
1D,-21.952015597455546,-23.893641515585912,1.9416259181303668,"""lambda x: tuple_(le_(get_(x, i, ""Signal""), 37), g_(get_(x, i, ""ADX""), 61), 1, 5.5)"""
1D,-21.952015597455546,-23.893641515585912,1.9416259181303668,"""lambda x: tuple_(le_(get_(x, i, ""Signal""), 69), g_(get_(x, i, ""ADX""), 61), 1, 5.5)"""
1D,-21.952015597455546,-23.893641515585912,1.9416259181303668,"""lambda x: tuple_(le_(get_(x, i, ""Signal""), 28), g_(get_(x, i, ""ADX""), 61), 1, 5.5)"""
1D,-21.952015597455546,-23.893641515585912,1.9416259181303668,"""lambda x: tuple_(le_(get_(x, i, ""open""), 95), g_(get_(x, i, ""ADX""), 61), 1, 5.5)"""
1D,-21.952015597455546,-23.893641515585912,1.9416259181303668,"""lambda x: tuple_(le_(get_(x, i, ""MACD""), 95), g_(get_(x, i, ""ADX""), 61), 1, 5.5)"""
