TimeF,posterior,prior,likelihood,rule
1D,-19.29972479629988,-24.11678506690012,4.817060270600241,"""lambda x: tuple_(not_(l_(get_(x, i, ""RSI""), 64)), le_(get_(x, i, ""RSI-based MA""), 40), 1, 4.5)"""
1D,-19.29972479629988,-24.11678506690012,4.817060270600241,"""lambda x: tuple_(not_(l_(get_(x, i, ""RSI""), 64)), le_(get_(x, i, ""RSI""), 28), 1, 4.5)"""
1D,-19.28977258559965,-24.11678506690012,4.827012481300472,"""lambda x: tuple_(not_(l_(get_(x, i, ""RSI""), 64)), le_(get_(x, i, ""ADX""), 32), 1, 4.5)"""
1D,-19.249840459509233,-24.11678506690012,4.866944607390887,"""lambda x: tuple_(not_(l_(get_(x, i, ""RSI""), 64)), le_(get_(x, i, ""RSI-based MA""), 40), 1, 1.5)"""
1D,-19.24044631354264,-24.11678506690012,4.876338753357479,"""lambda x: tuple_(not_(l_(get_(x, i, ""RSI""), 64)), le_(get_(x, i, ""RSI""), 71), 1, 4.5)"""
1D,-19.228376113997584,-24.11678506690012,4.888408952902537,"""lambda x: tuple_(not_(l_(get_(x, i, ""RSI""), 64)), le_(get_(x, i, ""RSI""), 40), 1, 5.5)"""
1D,-19.086087415811285,-24.339928618214334,5.253841202403048,"""lambda x: tuple_(not_(le_(get_(x, i, ""RSI""), 76)), not_(g_(get_(x, i, ""RSI""), 66)), 1, 5.0)"""
1D,-18.903780184453094,-24.11678506690012,5.213004882447026,"""lambda x: tuple_(not_(l_(get_(x, i, ""RSI""), 64)), le_(get_(x, i, ""RSI""), 40), 1, 1.5)"""
1D,-18.880737184746135,-24.11678506690012,5.236047882153987,"""lambda x: tuple_(not_(l_(get_(x, i, ""RSI""), 64)), le_(get_(x, i, ""RSI""), 34), 1, 4.5)"""
1D,-18.399616202953368,-24.11678506690012,5.717168863946754,"""lambda x: tuple_(not_(l_(get_(x, i, ""RSI""), 71)), le_(get_(x, i, ""ADX""), 17), 1, 5.5)"""
