,posterior,prior,likelihood,rule
0,-13.3159931464144,-24.672048540096682,11.356055393682283,"""lambda x: tuple_(not_(g_(get_(x, i, ""ADX""), 29)), ge_(get_(x, i, ""high""), 1), 1, 3.0)"""
1,-13.180223930907419,-24.672048540096682,11.491824609189264,"""lambda x: tuple_(not_(g_(get_(x, i, ""RSI""), 41)), g_(get_(x, i, ""RSI""), 83), 1, 2.0)"""
2,-13.17427417890847,-24.672048540096682,11.497774361188212,"""lambda x: tuple_(not_(g_(get_(x, i, ""ADX""), 18)), g_(get_(x, i, ""close""), 1), 1, 2.5)"""
3,-13.149071870177549,-24.672048540096682,11.522976669919133,"""lambda x: tuple_(not_(ge_(get_(x, i, ""ADX""), 26)), g_(get_(x, i, ""open""), 1), 1, 3.0)"""
4,-12.362593486421632,-24.672048540096682,12.30945505367505,"""lambda x: tuple_(not_(g_(get_(x, i, ""RSI""), 41)), ge_(get_(x, i, ""high""), 1), 1, 3.0)"""
5,-12.292632828690657,-24.672048540096682,12.379415711406025,"""lambda x: tuple_(not_(g_(get_(x, i, ""RSI""), 38)), g_(get_(x, i, ""high""), 1), 1, 5.5)"""
6,-12.292632828690657,-24.672048540096682,12.379415711406025,"""lambda x: tuple_(not_(g_(get_(x, i, ""RSI""), 38)), g_(get_(x, i, ""close""), 1), 1, 5.5)"""
7,-12.172951663536626,-24.672048540096682,12.499096876560056,"""lambda x: tuple_(not_(g_(get_(x, i, ""RSI""), 38)), g_(get_(x, i, ""high""), 1), 1, 4.0)"""
8,-12.166330000199014,-24.672048540096682,12.505718539897668,"""lambda x: tuple_(not_(g_(get_(x, i, ""RSI""), 41)), ge_(get_(x, i, ""high""), 1), 1, 2.5)"""
9,-12.039515250121251,-24.672048540096682,12.63253328997543,"""lambda x: tuple_(not_(g_(get_(x, i, ""RSI""), 38)), g_(get_(x, i, ""high""), 1), 1, 3.0)"""
