,entry-price,exit-price,pct_change,profit,entry-time,exit-time,time-transpired,Strategy,win
0,0.635929,0.636096,0.026260793264661346,-0.7738442499083974,2025-06-13 08:00:00+00:00,2025-06-14 08:00:00+00:00,1 days 00:00:00,0,False
1,0.632634,0.635779,0.49712788120776835,-0.3025014838591196,2025-06-14 09:00:00+00:00,2025-06-14 12:00:00+00:00,0 days 03:00:00,0,False
2,0.619357,0.655779,5.880614895770929,5.002660637498258,2025-06-14 19:00:00+00:00,2025-06-16 20:00:00+00:00,2 days 01:00:00,0,True
3,0.595602,0.600006,0.7394199482204685,-0.06603242299663359,2025-06-18 14:00:00+00:00,2025-06-19 19:00:00+00:00,1 days 05:00:00,0,False
4,0.525,0.593388,13.026285714285715,12.644138331200365,2025-06-22 21:00:00+00:00,2025-06-24 06:00:00+00:00,1 days 09:00:00,0,True
0,0.62068,0.624899,0.6797383514854631,-0.12298060192047877,2025-06-14 18:00:00+00:00,2025-06-14 23:00:00+00:00,0 days 05:00:00,1,False
1,0.626784,0.629501,0.433482667075096,-0.36779838597265774,2025-06-15 00:00:00+00:00,2025-06-15 12:00:00+00:00,0 days 12:00:00,1,False
2,0.530985,0.582992,9.794438637626282,8.911310344350628,2025-06-22 13:00:00+00:00,2025-06-24 09:00:00+00:00,1 days 20:00:00,1,True
0,0.62068,0.624899,0.6797383514854631,-0.12298060192047877,2025-06-14 18:00:00+00:00,2025-06-14 23:00:00+00:00,0 days 05:00:00,2,False
1,0.626784,0.629501,0.433482667075096,-0.36779838597265774,2025-06-15 00:00:00+00:00,2025-06-15 12:00:00+00:00,0 days 12:00:00,2,False
2,0.530985,0.582992,9.794438637626282,8.911310344350628,2025-06-22 13:00:00+00:00,2025-06-24 09:00:00+00:00,1 days 20:00:00,2,True
0,0.62068,0.624899,0.6797383514854631,-0.12298060192047877,2025-06-14 18:00:00+00:00,2025-06-14 23:00:00+00:00,0 days 05:00:00,3,False
1,0.626784,0.629501,0.433482667075096,-0.36779838597265774,2025-06-15 00:00:00+00:00,2025-06-15 12:00:00+00:00,0 days 12:00:00,3,False
2,0.530985,0.582992,9.794438637626282,8.911310344350628,2025-06-22 13:00:00+00:00,2025-06-24 09:00:00+00:00,1 days 20:00:00,3,True
0,0.635929,0.636096,0.026260793264661346,-0.7738442499083974,2025-06-13 08:00:00+00:00,2025-06-14 08:00:00+00:00,1 days 00:00:00,4,False
1,0.632634,0.635779,0.49712788120776835,-0.3025014838591196,2025-06-14 09:00:00+00:00,2025-06-14 12:00:00+00:00,0 days 03:00:00,4,False
2,0.619357,0.655779,5.880614895770929,5.002660637498258,2025-06-14 19:00:00+00:00,2025-06-16 20:00:00+00:00,2 days 01:00:00,4,True
3,0.595602,0.600006,0.7394199482204685,-0.06603242299663359,2025-06-18 14:00:00+00:00,2025-06-19 19:00:00+00:00,1 days 05:00:00,4,False
4,0.525,0.593388,13.026285714285715,12.644138331200365,2025-06-22 21:00:00+00:00,2025-06-24 06:00:00+00:00,1 days 09:00:00,4,True
0,0.635929,0.636096,0.026260793264661346,-0.7738442499083974,2025-06-13 08:00:00+00:00,2025-06-14 08:00:00+00:00,1 days 00:00:00,5,False
1,0.632634,0.635779,0.49712788120776835,-0.3025014838591196,2025-06-14 09:00:00+00:00,2025-06-14 12:00:00+00:00,0 days 03:00:00,5,False
2,0.619357,0.655779,5.880614895770929,5.002660637498258,2025-06-14 19:00:00+00:00,2025-06-16 20:00:00+00:00,2 days 01:00:00,5,True
3,0.595602,0.600006,0.7394199482204685,-0.06603242299663359,2025-06-18 14:00:00+00:00,2025-06-19 19:00:00+00:00,1 days 05:00:00,5,False
4,0.525,0.593388,13.026285714285715,12.644138331200365,2025-06-22 21:00:00+00:00,2025-06-24 06:00:00+00:00,1 days 09:00:00,5,True
0,0.635929,0.636096,0.026260793264661346,-0.7738442499083974,2025-06-13 08:00:00+00:00,2025-06-14 08:00:00+00:00,1 days 00:00:00,6,False
