,entry-price,exit-price,pct_change,profit,entry-time,exit-time,time-transpired,Strategy,win
0,0.0211592,0.020524424,-3.0000000000000004,-3.7880000000000003,2017-09-25 00:00:00+00:00,2017-10-02 00:00:00+00:00,7 days,0,False
1,0.0302856,0.029377032,-2.999999999999995,-3.644510559999995,2017-10-09 00:00:00+00:00,2017-10-16 00:00:00+00:00,7 days,0,False
2,0.0287651,0.027902147,-2.9999999999999987,-3.506456499987199,2017-10-23 00:00:00+00:00,2017-10-30 00:00:00+00:00,7 days,0,False
3,0.0238665,1.01626,4158.102361050008,3687.7234295368607,2017-11-06 00:00:00+00:00,2018-01-01 00:00:00+00:00,56 days,0,True
4,0.813374,0.78897278,-3.0,-143.06459543862397,2018-01-08 00:00:00+00:00,2018-01-15 00:00:00+00:00,7 days,0,False
5,0.669135,0.6490609500000001,-2.999999999999993,-137.64530856340863,2018-01-22 00:00:00+00:00,2018-01-29 00:00:00+00:00,7 days,0,False
6,0.374264,0.36303608,-3.0000000000000004,-132.431304275027,2018-02-05 00:00:00+00:00,2018-02-19 00:00:00+00:00,14 days,0,False
7,0.301514,0.29246858,-3.0000000000000084,-127.41480646908924,2018-02-26 00:00:00+00:00,2018-03-05 00:00:00+00:00,7 days,0,False
8,0.159321,0.15454136999999998,-3.0000000000000044,-122.58833360003999,2018-03-12 00:00:00+00:00,2018-03-26 00:00:00+00:00,14 days,0,False
9,0.228257,0.22140928999999998,-3.000000000000003,-117.94468752327043,2018-05-28 00:00:00+00:00,2018-06-04 00:00:00+00:00,7 days,0,False
10,0.161702,0.15685094000000002,-2.999999999999994,-113.47694275988867,2018-06-11 00:00:00+00:00,2018-06-18 00:00:00+00:00,7 days,0,False
11,0.145143,0.14078870999999998,-3.0000000000000075,-109.1784361681445,2018-06-25 00:00:00+00:00,2018-07-02 00:00:00+00:00,7 days,0,False
12,0.143159,0.13886423,-3.0000000000000018,-105.04275700609503,2018-07-09 00:00:00+00:00,2018-07-30 00:00:00+00:00,21 days,0,False
13,0.112865,0.10947905,-2.9999999999999987,-101.06373737070405,2018-08-06 00:00:00+00:00,2018-08-13 00:00:00+00:00,7 days,0,False
14,0.0929685,0.090179445,-2.9999999999999987,-97.23544299910179,2018-08-20 00:00:00+00:00,2018-09-03 00:00:00+00:00,14 days,0,False
15,0.0699208,0.067823176,-3.0000000000000084,-93.55216441829606,2018-09-10 00:00:00+00:00,2018-09-17 00:00:00+00:00,7 days,0,False
16,0.085512,0.08294664,-3.000000000000003,-90.00840843013086,2018-09-24 00:00:00+00:00,2018-10-01 00:00:00+00:00,7 days,0,False
17,0.07015,0.06804550000000001,-2.999999999999993,-86.59888991879728,2018-10-08 00:00:00+00:00,2018-10-29 00:00:00+00:00,21 days,0,False
18,0.0763,0.07401100000000001,-2.9999999999999987,-83.31852396867336,2018-11-05 00:00:00+00:00,2018-11-12 00:00:00+00:00,7 days,0,False
19,0.037099,0.03598603,-2.9999999999999942,-80.16241828073994,2018-11-19 00:00:00+00:00,2018-11-26 00:00:00+00:00,7 days,0,False
20,0.031198,0.03026206,-2.9999999999999987,-77.1258658762656,2018-12-03 00:00:00+00:00,2018-12-10 00:00:00+00:00,7 days,0,False
21,0.043898,0.04258106,-3.0000000000000058,-74.2043380768728,2018-12-17 00:00:00+00:00,2018-12-24 00:00:00+00:00,7 days,0,False
22,0.048691,0.04723027,-3.000000000000001,-71.39347775052076,2018-12-31 00:00:00+00:00,2019-01-07 00:00:00+00:00,7 days,0,False
23,0.042999,0.04170903,-3.000000000000003,-68.68909281333107,2019-01-14 00:00:00+00:00,2019-01-21 00:00:00+00:00,7 days,0,False
24,0.03765,0.036520500000000004,-2.999999999999996,-66.08714997756196,2019-01-28 00:00:00+00:00,2019-02-04 00:00:00+00:00,7 days,0,False
25,0.041171,0.03993587,-3.000000000000002,-63.583768736412026,2019-02-11 00:00:00+00:00,2019-03-04 00:00:00+00:00,21 days,0,False
26,0.0497,0.048209,-2.9999999999999987,-61.17521557667668,2019-03-11 00:00:00+00:00,2019-08-05 00:00:00+00:00,147 days,0,False
27,0.050574,0.04905678,-2.999999999999999,-58.857898410632174,2019-08-12 00:00:00+00:00,2019-08-19 00:00:00+00:00,7 days,0,False
28,0.04455,0.0432135,-2.9999999999999942,-56.628361218837355,2019-08-26 00:00:00+00:00,2019-09-23 00:00:00+00:00,28 days,0,False
29,0.038879,0.03771263,-3.0,-54.483278895867876,2019-09-30 00:00:00+00:00,2019-10-14 00:00:00+00:00,14 days,0,False
30,0.042219,0.04095243,-3.0000000000000036,-52.41945229129246,2019-10-21 00:00:00+00:00,2019-10-28 00:00:00+00:00,7 days,0,False
31,0.043933,0.04261501,-2.9999999999999956,-50.433803438498195,2019-11-04 00:00:00+00:00,2019-11-11 00:00:00+00:00,7 days,0,False
32,0.035114,0.03406058,-2.9999999999999982,-48.52337096424792,2019-11-18 00:00:00+00:00,2019-11-25 00:00:00+00:00,7 days,0,False
33,0.038677,0.037516690000000005,-2.999999999999994,-46.685305672122155,2019-12-02 00:00:00+00:00,2019-12-09 00:00:00+00:00,7 days,0,False
34,0.034462,0.03342814,-2.999999999999993,-44.916866293262146,2019-12-16 00:00:00+00:00,2019-12-23 00:00:00+00:00,7 days,0,False
35,0.034487,0.03345239,-2.9999999999999956,-43.21541539807342,2019-12-30 00:00:00+00:00,2020-03-09 00:00:00+00:00,70 days,0,False
36,0.027165,1.10084,3952.420393889195,43200.837639781785,2020-03-16 00:00:00+00:00,2021-02-15 00:00:00+00:00,336 days,0,True
37,1.229793,1.316158,7.022726588946273,2744.1289957057265,2021-07-19 00:00:00+00:00,2021-07-26 00:00:00+00:00,7 days,0,True
